Date,CPI,Unemployment Rate,GDP
01/10/1973,0.008849558,4.6,0.029606552
01/11/1973,0.006578947,4.8,
01/12/1973,0.008714597,4.9,
01/01/1974,0.010799136,5.1,0.010106422
01/02/1974,0.010683761,5.2,
01/03/1974,0.010570825,5.1,
01/04/1974,0.006276151,5.1,0.026050674
01/05/1974,0.01039501,5.1,
01/06/1974,0.008230453,5.4,
01/07/1974,0.006122449,5.5,0.019587518
01/08/1974,0.012170385,5.5,
01/09/1974,0.014028056,5.9,
01/10/1974,0.007905138,6,0.025418166
01/11/1974,0.009803922,6.6,
01/12/1974,0.00776699,7.2,
01/01/1975,0.007707129,8.1,0.010275186
01/02/1975,0.005736138,8.1,
01/03/1975,0.003802281,8.6,
01/04/1975,0.003787879,8.8,0.022112893
01/05/1975,0.001886792,9,
01/06/1975,0.007532957,8.8,
01/07/1975,0.009345794,8.6,0.035092106
01/08/1975,0.003703704,8.4,
01/09/1975,0.007380074,8.4,
01/10/1975,0.005494505,8.4,0.030418991
01/11/1975,0.007285974,8.3,
01/12/1975,0.005424955,8.2,
01/01/1976,0.003597122,7.9,0.033292637
01/02/1976,0.001792115,7.7,
01/03/1976,0.001788909,7.6,
01/04/1976,0.001785714,7.7,0.017492572
01/05/1976,0.005347594,7.4,
01/06/1976,0.005319149,7.6,
01/07/1976,0.005291005,7.8,0.018477249
01/08/1976,0.005263158,7.8,
01/09/1976,0.005235602,7.6,
01/10/1976,0.005208333,7.7,0.025292093
01/11/1976,0.003454231,7.8,
01/12/1976,0.005163511,7.8,
01/01/1977,0.005136986,7.5,0.028111337
01/02/1977,0.010221465,7.6,
01/03/1977,0.005059022,7.4,
01/04/1977,0.006711409,7.2,0.033822476
01/05/1977,0.003333333,7,
01/06/1977,0.004983389,7.2,
01/07/1977,0.004958678,6.9,0.030431308
01/08/1977,0.004934211,7,
01/09/1977,0.003273322,6.8,
01/10/1977,0.004893964,6.8,0.02161793
01/11/1977,0.006493506,6.8,
01/12/1977,0.00483871,6.4,
01/01/1978,0.006420546,6.4,0.017784288
01/02/1978,0.004784689,6.3,
01/03/1978,0.006349206,6.3,
01/04/1978,0.007886435,6.1,0.058505239
01/05/1978,0.009389671,6,
01/06/1978,0.007751938,5.9,
01/07/1978,0.007692308,6.2,0.027199821
01/08/1978,0.00610687,5.9,
01/09/1978,0.009104704,6,
01/10/1978,0.009022556,5.8,0.034193815
01/11/1978,0.005961252,5.9,
01/12/1978,0.005925926,6,
01/01/1979,0.008836524,5.9,0.020049262
01/02/1979,0.010218978,5.9,
01/03/1979,0.010115607,5.8,
01/04/1979,0.010014306,5.8,0.0255825
01/05/1979,0.011331445,5.6,
01/06/1979,0.011204482,5.7,
01/07/1979,0.011080332,5.7,0.029452229
01/08/1979,0.009589041,6,
01/09/1979,0.009497965,5.9,
01/10/1979,0.010752688,6,0.021112138
01/11/1979,0.010638298,5.9,
01/12/1979,0.011842105,6,
01/01/1980,0.014304291,6.3,0.024215064
01/02/1980,0.012820513,6.3,
01/03/1980,0.013924051,6.3,
01/04/1980,0.009987516,6.9,0.002691909
01/05/1980,0.009888752,7.5,
01/06/1980,0.009791922,7.6,
01/07/1980,0.001212121,7.8,0.021138205
01/08/1980,0.007263923,7.7,
01/09/1980,0.008413462,7.5,
01/10/1980,0.009535161,7.5,0.045186336
01/11/1980,0.010625738,7.5,
01/12/1980,0.009345794,7.2,
01/01/1981,0.009259259,7.5,0.046439911
01/02/1981,0.009174312,7.4,
01/03/1981,0.006818182,7.4,
01/04/1981,0.005643341,7.2,0.012267437
01/05/1981,0.006734007,7.5,
01/06/1981,0.008918618,7.5,
01/07/1981,0.011049724,7.2,0.031012176
01/08/1981,0.007650273,7.4,
01/09/1981,0.009761388,7.6,
01/10/1981,0.003222342,7.9,0.006197922
01/11/1981,0.004282655,8.3,
01/12/1981,0.003198294,8.5,
01/01/1982,0.003188098,8.6,-0.00198609
01/02/1982,0.003177966,8.9,
01/03/1982,0,9,
01/04/1982,0.003167899,9.3,0.017612914
01/05/1982,0.009473684,9.4,
01/06/1982,0.011470282,9.6,
01/07/1982,0.005154639,9.8,0.01030921
01/08/1982,0.002051282,9.8,
01/09/1982,0,10.1,
01/10/1982,0.004094166,10.4,0.010765162
01/11/1982,-0.001019368,10.8,
01/12/1982,-0.003061224,10.8,
01/01/1983,0.002047083,10.4,0.020823139
01/02/1983,0.00102145,10.4,
01/03/1983,0.001020408,10.3,
01/04/1983,0.007135576,10.2,0.03035487
01/05/1983,0.004048583,10.1,
01/06/1983,0.002016129,10.1,
01/07/1983,0.004024145,9.4,0.030828635
01/08/1983,0.003006012,9.5,
01/09/1983,0.002997003,9.2,
01/10/1983,0.003984064,8.8,0.028604467
01/11/1983,0.00297619,8.5,
