Ticker,date,ff_accr_exp,ff_assets_com_eq,ff_assets_eq,Implosion_Next_Year,CPI,Unemployment Rate,GDP
ABVC,2007-09-30,0.0125,4.1480431435097,4.1480431435097,0,,,
ABVC,2008-09-30,0.012033,,-1.21138884183867,0,,,
ABVC,2009-09-30,0.076084,,-0.257713772165019,0,,,
ABVC,2010-09-30,0.0715,,-0.0981806837224854,1,,,
ABVC-US,2018-12-31,0.536581,,-0.0167448253023176,0,,,
ABVC-US,2019-12-31,2.007573,2.80933815838845,2.80933815838845,0,,,
ABVC-US,2020-12-31,2.118854,2.23787488444694,2.23787488444694,0,,,
ABVC-US,2021-12-31,1.300803,1.43729004807021,1.43729004807021,0,,,
ABVT-US,2008-12-31,65.9,1.84875131902919,1.84875131902919,0,,,
ABVT-US,2009-12-31,41.1,1.45069000336587,1.45069000336587,0,,,
ABVT-US,2010-12-31,42.0,1.57737556561086,1.57737556561086,0,,,
ABVT-US,2011-12-31,41.6,1.4971446210835,1.4971446210835,0,,,
AC-US,2019-12-31,7.373,1.12815807557071,1.12815807557071,0,,,
AC-US,2020-12-31,5.635,1.30826152637891,1.30826152637891,0,,,
AC-US,2021-12-31,9.705,1.28912434292105,1.28912434292105,0,,,
AC-US,2022-12-31,2.707,1.0421188142836,1.0421188142836,0,,,
ACA-US,2019-12-31,113.9,1.2860254691689,1.2860254691689,0,,,
ACA-US,2020-12-31,110.4,1.39874220484093,1.39874220484093,0,,,
ACA-US,2021-12-31,141.1,1.63216095837813,1.63216095837813,0,,,
ACA-US,2022-12-31,113.6,1.52929866324849,1.52929866324849,0,,,
ACAB-US,2021-12-31,0.237888,15.5716809583315,15.5716809583315,0,,,
ACABU-US,2021-12-31,0.237888,15.5716809583315,15.5716809583315,0,,,
ACAC-US,,,,,0,,,
ACACU-US,,,,,0,,,
ACAD-US,2019-12-31,64.17,1.12021712544787,1.12021712544787,0,,,
ACAD-US,2020-12-31,92.387,1.24817347119419,1.24817347119419,0,,,
ACAD-US,2021-12-31,80.888,1.29437930537222,1.29437930537222,0,,,
ACAD-US,2022-12-31,103.579,1.46801427526079,1.46801427526079,0,,,
ACAH-US,2020-12-31,0.331,15.8354166666667,15.8354166666667,0,,,
ACAH-US,2021-12-31,5.879357,1.10603983636911,1.10603983636911,0,,,
ACAHU-US,2020-12-31,0.331,15.8354166666667,15.8354166666667,0,,,
ACAHU-US,2021-12-31,5.879357,1.10603983636911,1.10603983636911,0,,,
ACAP-US,2006-12-31,37.113,4.17630973977526,4.17630973977526,0,,,
ACAP-US,2007-12-31,38.78,4.13998337876987,4.13998337876987,0,,,
ACAP-US,2008-12-31,25.478,4.12832438975842,4.12832438975842,0,,,
ACAP-US,2009-12-31,22.069,4.21025591314463,4.21025591314463,0,,,
ACAS-US,2012-12-31,,1.1652237981212,1.1652237981212,0,,,
ACAS-US,2013-12-31,,1.17420991026141,1.17420991026141,0,,,
ACAS-US,2014-12-31,,1.45559210526316,1.45559210526316,0,,,
ACAS-US,2015-12-31,,1.34570717544587,1.34570717544587,0,,,
ACAT-US,2013-03-31,55.736,1.75469416296025,1.75469416296025,0,,,
ACAT-US,2014-03-31,54.659,1.84980788249218,1.84980788249218,0,,,
ACAT-US,2015-03-31,53.942,1.75662519681547,1.75662519681547,0,,,
ACAT-US,2016-03-31,52.018,1.89911046591513,1.89911046591513,0,,,
ACAX-US,2021-11-30,0.04,6.75,6.75,0,,,
ACAX-US,2022-11-30,0.376541,1.03952519444176,1.03952519444176,0,,,
ACAXU-US,2021-11-30,0.04,6.75,6.75,0,,,
