,CPI,Unemployment Rate,GDP
1983-03-01,0.0010204081632652073,10.3,
1983-04-01,0.007135575942915473,10.2,0.03035486997946979
1983-05-01,0.004048582995951566,10.1,
1983-06-01,0.002016129032258007,10.1,
1983-07-01,0.004024144869215096,9.4,0.030828635359758216
1983-08-01,0.0030060120240480437,9.5,
1983-09-01,0.0029970029970030065,9.2,
1983-10-01,0.003984063745019917,8.8,0.028604467281202695
1983-11-01,0.0029761904761904656,8.5,
1983-12-01,0.0029673590504453173,8.3,
1984-01-01,0.006903353057199135,8.0,0.029870034727327965
1984-02-01,0.004897159647404559,7.8,
1984-03-01,0.0029239766081872176,7.8,
1984-04-01,0.0038872691933915515,7.7,0.025984031950428532
1984-05-01,0.0019361084220717029,7.4,
1984-06-01,0.0019323671497584183,7.2,
1984-07-01,0.0038572806171648377,7.5,0.01861756319394381
1984-08-01,0.0028818443804035088,7.5,
1984-09-01,0.002873563218390718,7.3,
1984-10-01,0.0038204393505252288,7.4,0.01574364938483197
1984-11-01,0.0019029495718363432,7.2,
1984-12-01,0.0018993352326686086,7.3,
1985-01-01,0.0018957345971564177,7.3,0.01967361616140173
1985-02-01,0.005676442762535316,7.2,
1985-03-01,0.00470366886171214,7.2,
1985-04-01,0.0018726591760300781,7.3,0.015299392364558573
1985-05-01,0.0018691588785046953,7.2,
1985-06-01,0.002798507462686617,7.4,
1985-07-01,0.0018604651162790198,7.4,0.02139427649668102
1985-08-01,0.0018570102135562205,7.1,
1985-09-01,0.001853568118628246,7.1,
1985-10-01,0.0037002775208141436,7.1,0.013066780524089161
1985-11-01,0.004608294930875667,7.0,
1985-12-01,0.004587155963302836,7.0,
1986-01-01,0.0036529680365298134,6.7,0.014356131981006826
1986-02-01,-0.0018198362147406888,7.2,
1986-03-01,-0.005469462169553352,7.2,
1986-04-01,-0.0036663611365719273,7.1,0.008306761427841813
1986-05-01,0.002759889604415866,7.2,
1986-06-01,0.003669724770642313,7.2,
1986-07-01,0.000914076782449591,7.0,0.013712725560684147
1986-08-01,0.0009132420091324533,6.9,
1986-09-01,0.0036496350364965124,7.0,
1986-10-01,0.001818181818181941,7.0,0.010842358685053233
1986-11-01,0.001814882032667997,6.9,
1986-12-01,0.0036231884057971175,6.6,
1987-01-01,0.005415162454873723,6.6,0.0138544799744591
1987-02-01,0.0035906642728904536,6.6,
1987-03-01,0.003577817531305927,6.6,
1987-04-01,0.004456327985739694,6.3,0.017789331822159138
1987-05-01,0.002661934338952898,6.3,
1987-06-01,0.004424778761061843,6.2,
1987-07-01,0.002643171806167466,6.1,0.016311358756262884
1987-08-01,0.004393673110720586,6.0,
1987-09-01,0.0034995625546807574,5.9,
