,fsym_id,Implosion_Start_Date,Implosion_End_Date
893,SJS0M9-R,,
894,SN6P1D-R,,
895,VDTCCY-R,,
896,VXQSG0-R,2010-04-30,2012-11-16
897,WBR66Z-R,,
898,WN07K7-R,,
899,WQQK33-R,,
900,WRQG13-R,,
901,WYM3JN-R,,
902,XBDN33-R,,
903,XGDKFD-R,,
904,XN14WQ-R,,
905,B3DNJ5-R,2002-05-10,2010-11-12
906,BGXTVH-R,,
907,BMH22X-R,,
908,C37W7K-R,,
909,C7R94D-R,,
910,C7S71D-R,,
911,CFK8D9-R,,
912,CW4CJH-R,,
913,DNDNFM-R,,
914,F2JVYN-R,,
915,GRS8JF-R,,
916,GSXM1Q-R,,
917,GYG97M-R,,
918,HKRHNJ-R,,
919,JBGGXS-R,,
920,JJ8MHV-R,,
921,JV6PPL-R,,
922,K6VTTW-R,,
923,KF1DFX-R,,
924,KSZY8S-R,,
925,LJK5HM-R,,
926,M0JTTT-R,,
927,MBP7GW-R,2018-11-16,2023-03-31
928,ML70LJ-R,,
929,MY78BP-R,,
930,MYYKWM-R,,
931,N1C2Q8-R,,
932,N735NP-R,,
933,N7XWDJ-R,,
934,N8208D-R,,
935,NCJXRB-R,,
936,NFMPMG-R,,
937,NLX2CY-R,2019-12-31,2023-03-31
938,P5ZZCK-R,,
939,PLWZ7Y-R,,
940,PTX2ZB-R,,
941,PY5KHK-R,,
942,QJNKGF-R,2018-06-29,2021-10-01
943,R13C48-R,,
944,R7KWB6-R,,
945,RT76VH-R,,
946,SHD54B-R,,
947,SVHL4P-R,,
948,TQ7P1D-R,,
949,TZSF73-R,,
950,V2H5QG-R,,
951,V7YTHX-R,,
952,VFY8ZQ-R,,
953,VNSDJS-R,,
954,VZ9LY6-R,,
955,W6G0C4-R,,
956,W6TWGR-R,,
957,WC1VHX-R,,
958,WQDTJZ-R,,
959,WWRDLM-R,,
960,XD41DP-R,,
961,B29X4H-R,,
962,BHX7QX-R,,
963,C7MTJ4-R,,
964,CRHZ50-R,,
965,D0LDT1-R,,
966,D62DP7-R,,
967,D8FPTC-R,,
968,DBVFBH-R,,
969,DCGXX5-R,,
970,DG3BT6-R,,
971,DJHH6S-R,,
972,F07VJ0-R,,
973,F52BXL-R,,
974,F5Z3LC-R,,
975,FBB8C6-R,,
976,FN6KSX-R,,
977,H0FMVT-R,,
978,HHH2VY-R,,
979,HNP3GK-R,,
980,JCKN2V-R,,
981,JNP3TY-R,,
982,JNTHTP-R,,
983,JPXYXD-R,,
984,JTB6N5-R,,
985,JTCQZ0-R,,
986,KRWRQB-R,,
987,KSWML9-R,,
988,KVV689-R,2016-07-22,2023-03-31
989,LJSMC8-R,,
990,LXZS9W-R,,
991,MR547V-R,,
992,N1PM1D-R,,
993,NB6DXQ-R,,
994,NBC1S2-R,,
995,NCC9CD-R,,
996,NJ2XDD-R,,
997,NRR3CL-R,,
998,NW134K-R,,
999,P6R1MG-R,,
1000,PN6NGR-R,,
1001,Q0NST1-R,,
1002,QF0JS7-R,,
1003,QJGHSM-R,,
1004,QP6W35-R,,
1005,QTLXLW-R,,
1006,QVQ2GN-R,,
1007,QWPWBP-R,,
1008,RFVJ5H-R,,
1009,RQDKVD-R,,
1010,S27CNX-R,,
1011,S7YFVK-R,,
1012,S8VPR2-R,,
1013,SHWPMS-R,,
1014,T4KTJM-R,,
1015,V60F1Z-R,,
1016,W922FP-R,,
1017,WXG1RT-R,,
1018,X9V8VP-R,,
1019,B2YZLH-R,,
1020,BPQ93W-R,,
1021,BV8GCC-R,,
1022,C36KRB-R,,
1023,C7LRM8-R,,
1024,CDR86B-R,,
1025,CH7QTX-R,,
1026,D78DL9-R,,
1027,F8Y35V-R,,
1028,HP0TD3-R,,
1029,HRDFT6-R,2002-10-11,2005-08-12
1030,HTQH6T-R,2007-06-15,2013-06-28
1031,JGP6HQ-R,,
1032,JMNV5L-R,,
1033,K4NGFQ-R,,
1034,KH7PZ8-R,2019-07-19,2021-09-03
1035,KLTSQD-R,,
1036,LBW40P-R,,
1037,M0HJ6G-R,,
1038,MT373H-R,,
1039,N3FSJD-R,,
1040,NS207W-R,,
1041,P1LCQ7-R,,
